Defendant_Sex,Defendant_Race,Defendant_Age,Defendant_IndigencyStatus,WhetherDefendantWasReleasedPretrial,DaysBetweenContactEventAndPretrialRelease,PretrialReleaseType2,BondTypeAtInitialContact,BondAmountAtInitialContact,BondTypeAtRelease_v1,BondAmountAtRelease,Indicator_PresumptiveDenialOfBail_19.2_120,PriorArrests,Locality_JudicialCircuit,Locality_MagisterialRegion,FollowUp_ChargedWithNewFTA,FollowUp_ArrestedforNewOff,CrimeCommission2021ReportClassificationofDefendants,VPRAI_TotalPoints_Opt1,VPRAI_TotalPoints_Opt2,PSA_FTA_TotalPoints,PSA_NCA_TotalPoints,PSA_NVCA_TotalPoints
M,W,30,0,0,999,0,7, ,1, ,0,20,    9.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,6,7,1,4,3
M,B,27,0,0,999,0,7, ,1, ,0,13,    9.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,6,7,2,6,4
F,W,35,0,1,888,3,7, ,2, ,0,2,   20.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,2
M,B,41,0,0,999,0,7, ,1, ,2,9,   16.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,6,7,3,3,2
F,W,55,0,9,888,9,7, ,9, ,1,3,   16.00,    4.00,0,0,Defendant could not be classified or tracked due to insufficeint data,2,3,1,1,1
M,B,30,1,1,0,3,7, ,2,1000,0,9,   16.00,    4.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,8,9,5,6,2
M,B,29,0,0,999,0,7, ,1, ,0,18,   15.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,7,8,2,8,4
M,W,39,0,0,999,0,7, ,1, ,2,52,   26.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,6,7,5,10,4
M,W,39,1,1,888,3,7, ,2,0,0,0,   11.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,0
M,W,34,0,9,888,9,7, ,9, ,0,1,   27.00,    1.00,0,0,Defendant could not be classified or tracked due to insufficeint data,3,4,0,0,0
M,W,28,0,0,999,0,7, ,1, ,0,15,   26.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,7,8,1,3,1
M,W,27,1,0,999,0,7, ,1, ,2,15,   26.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,9,10,2,7,5
F,W,25,0,1,888,3,7, ,2, ,0,2,   29.00,    1.00,1,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,0,0,0
F,W,33,1,1,888,3,7, ,2,0,1,4,   30.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,2,1,0
F,W,25,0,1,888,3,7, ,2, ,0,1,   30.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,0,0,0
M,B,19,1,1,888,3,7, ,2,0,0,15,   26.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,3,6,1
M,W,18,1,1,888,3,7, ,2,0,2,6,   26.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,5,4
