Defendant_Sex,Defendant_Race,Defendant_Age,Defendant_IndigencyStatus,WhetherDefendantWasReleasedPretrial,DaysBetweenContactEventAndPretrialRelease,PretrialReleaseType2,BondTypeAtInitialContact,BondAmountAtInitialContact,BondTypeAtRelease_v1,BondAmountAtRelease,Indicator_PresumptiveDenialOfBail_19.2_120,PriorArrests,Locality_JudicialCircuit,Locality_MagisterialRegion,FollowUp_ChargedWithNewFTA,FollowUp_ArrestedforNewOff,CrimeCommission2021ReportClassificationofDefendants,VPRAI_TotalPoints_Opt1,VPRAI_TotalPoints_Opt2,PSA_FTA_TotalPoints,PSA_NCA_TotalPoints,PSA_NVCA_TotalPoints
M,B,52,1,1,1,1,3,1500,3,1500,1,20,   11.00,    3.00,1,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,1,5,2
M,B,39,1,1,0,1,3,1000,3,1000,1,10,   11.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,2,2,1
M,B,48,9,0,999,0,1, ,1, ,9,30,   11.00,    3.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,5,6,2,9,4
M,B,32,1,1,13,3,2,1000,2,1000,0,5,    3.00,    7.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,3,4,2,1,1
M,B,41,1,1,2,3,1, ,2,5000,0,38,    3.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,4,5,2,5,4
M,W,39,0,1,0,1,3,3000,3,3000,0,2,    3.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
F,W,31,0,1,0,3,2,3500,2,3500,0,3,    3.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,9,10,1,3,1
M,B,49,1,0,999,0,1, ,1, ,0,24,    3.00,    7.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,6,7,2,4,1
M,W,18,0,1,0,1,4, ,4, ,0,0,   27.00,    1.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,2,0
M,W,21,0,1,0,1,4, ,4, ,0,1,   27.00,    1.00,0,1,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,2,0
M,W,20,0,1,0,1,4, ,4, ,0,0,   27.00,    1.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,2,0
M,W,18,0,1,0,1,4, ,4, ,0,0,   27.00,    1.00,0,1,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,2,0
M,W,28,0,1,0,1,4, ,4, ,0,1,   27.00,    1.00,0,1,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,0,0
F,W,21,0,1,0,1,4, ,4, ,0,1,   27.00,    1.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,2,0
M,W,22,0,1,1,1,4, ,4, ,0,0,   27.00,    1.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,2,0
M,W,19,9,1,0,1,5, ,3,2500,0,0,   27.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,2,3
F,W,22,0,1,0,1,4, ,4, ,0,0,   27.00,    1.00,0,1,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,2,0
F,B,21,0,1,0,1,4, ,4, ,0,1,   13.00,    6.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,2,3,1,3,1
M,B,31,1,0,999,0,1, ,1, ,0,24,   13.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,6,7,5,10,4
M,B,40,1,1,1,3,2,1000,2,500,0,29,   13.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,5,2
M,B,26,1,1,1,3,2,2500,2,2000,0,15,   13.00,    6.00,1,1,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,1,4,1
M,W,59,0,1,1,4,3,2500,3,2500,1,13,   13.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,6,7,1,1,1
M,W,29,0,1,0,1,4, ,4, ,0,1,   13.00,    6.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,0,0
M,B,28,1,1,5,3,2,1500,2,1500,0,0,   13.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,2
M,B,29,1,1,0,3,2,1500,2,1500,0,12,   13.00,    6.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,4,5,2,7,4
M,B,24,0,1,0,1,4, ,4, ,0,0,   13.00,    6.00,1,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,0,0
M,B,51,1,0,999,0,1, ,1, ,2,24,   13.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,12,13,3,7,2
M,B,19,1,1,0,1,3,1500,3,1500,0,15,   13.00,    6.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,6,7,5,7,1
M,B,37,0,1,2,4,1, ,4, ,1,18,   13.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,2,3,1
M,B,22,1,0,999,0,1, ,1, ,0,27,   13.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,7,8,5,8,1
F,W,40,1,1,2,4,2,2500,4, ,0,10,   13.00,    6.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,10,11,4,5,1
M,B,39,1,0,999,0,1, ,1, ,2,16,   13.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,6,7,5,7,5
M,B,32,1,0,999,0,1, ,1, ,2,28,   13.00,    6.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,6,7,1,4,3
M,W,25,99,1,0,1,4, ,4, ,0, ,   13.00,    6.00, , ,Contact Event was for new criminal offense NOT punishable by incarceration, , , , , 
M,W,61,0,1,0,1,3,1500,3,1500,0,0,   13.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,B,37,1,1,23,6,1, ,2,5000,1,64,   13.00,    6.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,9,10,7,11,4
M,B,30,1,1,2,9,1, ,7, ,0,32,   13.00,    6.00,1,1,Defendant could not be classified or tracked due to insufficeint data,11,12,6,10,4
M,B,63,1,1,1,3,2,2000,2,2000,1,15,   13.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,9,10,1,4,1
F,B,33,0,1,0,1,3,1500,3,1500,0,8,   13.00,    6.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,2,3,3,2,1
F,B,34,1,1,0,1,3,750,3,750,0,1,   13.00,    6.00,1,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,0,1,1,0,0
M,A,25,0,1,0,1,3,1500,3,1500,0,0,   13.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,B,26,1,1,0,1,3,1500,3,1500,0,23,   23.00,    2.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,6,7,2,6,3
M,W,21,0,1,0,1,3,1000,3,1000,1,0,   23.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,2,0
M,B,34,0,1,0,1,3,2000,3,2000,0,5,   23.00,    2.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,2,3,2,2,1
M,W,65,0,1,0,1,3,1000,3,1000,0,0,   23.00,    2.00,1,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,B,34,1,1,7,3,1, ,2,1000,2,30,   23.00,    2.00,1,1,New criminal offense punishable by incarceration_Released on Secured Bond,9,10,7,10,5
M,B,44,1,1,0,1,3,1500,3,1500,0,4,   23.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,1,3
M,W,34,0,1,1,1,4, ,4, ,0,0,   23.00,    2.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,0,0
M,B,49,0,1,1,1,4, ,4, ,0,21,   23.00,    2.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,3,4,1,5,2
M,W,25,1,1,0,3,2,1000,2,1000,0,17,   23.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,9,10,1,5,2
M,W,25,1,1,0,3,2,1000,2,1000,0,1,   23.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,0
M,W,52,0,0,999,0,2,1000,1, ,0,62,   23.00,    2.00,0,0,Defendant Detained Entire Pre-Trial Period_Held on Secured Bond,6,7,3,9,4
M,W,33,1,1,1,3,2,1000,2,1000,0,10,   23.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,1,5,4
M,W,51,0,1,0,1,3,1000,3,1000,0,0,   23.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,B,32,0,1,0,1,3,500,3,500,0,0,   23.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,B,19,0,1,0,1,3,2000,3,2000,0,2,   23.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,3,4,4
M,W,43,1,1,0,3,2,1000,2,1000,0,7,   23.00,    2.00,1,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,2,3,3,4,1
M,W,40,1,1,0,3,2,1500,2,1500,1,1,   23.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,3,1
M,W,44,1,0,999,0,1, ,1, ,0,46,   23.00,    2.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,9,10,3,9,4
M,B,26,0,1,0,1,3,1500,3,1500,0,1,   23.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,W,47,0,1,1,1,4, ,4, ,0,11,   23.00,    2.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,3,4,2,3,2
F,W,27,0,1,0,1,3,1500,3,1500,0,5,   23.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,4,2
M,W,67,0,1,0,1,3,1000,3,1000,0,1,   23.00,    2.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,2
M,W,36,1,1,0,3,2,1000,2,1000,0,2,   25.00,    2.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,1,1,1
F,W,30,1,1,1,1,5, ,3,1000,1,0,   25.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,B,27,1,1,0,3,2,500,2,500,1,6,    5.00,    8.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,7,6,2
M,B,34,0,1,0,1,4, ,4, ,0,10,    5.00,    8.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,2,3,1,3,1
F,B,18,1,1,0,1,3,3000,3,3000,0,0,    5.00,    8.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,0,2,0
M,W,30,0,1,0,1,3,2500,3,2500,1,2,    5.00,    8.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,3,1
F,B,23,1,1,0,1,3,3000,3,3000,0,1,    5.00,    8.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,5,6,1,1,1
M,W,30,0,1,0,1,4, ,4, ,0,5,    2.00,    7.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,8,9,3,4,2
M,W,30,0,0,999,0,1, ,1, ,0,17,    2.00,    7.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,8,9,4,8,2
F,W,30,1,1,1,1,3,1500,3,1500,1,0,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,W,22,1,1,0,1,3,2500,3,2500,1,1,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,2,0
F,B,23,0,1,0,1,3,2500,3,2500,1,3,    2.00,    7.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,2,1,0
F,B,24,1,1,0,1,3,2500,3,2500,1,0,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,W,42,1,0,999,0,1, ,1, ,0,16,    2.00,    7.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,7,8,2,8,3
F,W,21,0,1,0,1,4, ,4, ,0,1,    2.00,    7.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,2,3,1,3,1
F,W,29,0,1,0,3,2,2500,2,2500,1,1,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,1,1
F,W,35,1,1,0,1,3,2500,3,2500,1,0,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,B,53,1,0,999,0,1, ,1, ,0,24,    2.00,    7.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,6,7,5,9,3
M,B,29,0,1,6,3,1, ,2,10000,2,10,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,3,7,2
M,W,26,1,0,999,0,1, ,1, ,0,35,    2.00,    7.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,4,5,1,5,2
M,W,39,1,0,999,0,1, ,1, ,2,12,    2.00,    7.00,0,1,Defendant Detained Entire Pre-Trial Period_Held Without Bond,6,7,1,5,4
F,W,18,0,1,1,6,2,1500,2,1500,0,1,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,3,1
M,B,38,0,1,0,3,2,2500,2,2500,0,6,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,1,1
M,B,24,1,0,999,0,1, ,1, ,0,25,    2.00,    7.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,7,8,7,9,2
F,W,59,1,0,999,0,1, ,1, ,1,4,    2.00,    7.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,2,3,1,1,1
M,W,22,0,1,0,1,3,2500,3,2500,1,0,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,2,0
M,W,25,0,0,999,0,1, ,1, ,1,0,    2.00,    7.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,0,1,0,0,0
F,W,57,0,1,0,3,2,2500,2,2500,0,1,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,0,0,0
M,B,27,1,1,2,6,1, ,2,2500,0,3,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,3,3,2
M,W,62,1,1,0,1,3,3000,3,3000,1,5,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,1,1
M,W,63,0,1,0,3,2,2500,2,2500,1,1,    2.00,    7.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,1,1
M,W,34,0,1,0,1,4, ,4, ,0,5,    2.00,    7.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,2,3,1,4,2
M,W,61,1,1,1,1,3,2500,3,2500,1,48,    2.00,    7.00,1,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,6,7,3,8,3
M,W,21,0,1,0,1,3,2500,3,2500,1,1,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,4,5,0,2,0
M,B,53,0,1,0,3,2,2500,2,2500,0,43,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,3,8,3
M,W,27,0,1,0,1,3,2500,3,2500,1,0,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
F,W,29,1,1,1,3,2,3500,2,3500,1,1,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,3,2,1
M,W,26,0,1,3,3,2,2500,2,2500,0,7,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,1,3
M,B,22,0,1,0,1,3,5000,3,5000,1,0,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,2,0
M,W,27,0,1,0,3,2,1500,2,1500,1,13,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,8,9,2,8,3
F,B,39,0,1,0,1,5, ,4, ,0,2,    2.00,    7.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,2,3,1,2,2
M,B,42,1,0,999,0,1, ,1, ,2,57,    2.00,    7.00,0,1,Defendant Detained Entire Pre-Trial Period_Held Without Bond,11,12,2,6,3
M,B,27,0,1,0,6,2,2500,2,2500,1,3,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,3,2,1
F,W,41,1,1,10,4,1, ,3,2500,0,3,   25.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,5,6,1,1,1
M,W,47,0,1,0,1,4, ,4, ,0,0,    9.00,    6.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,0,0
M,B,22,1,1,7,6,1, ,2,500,1,3,    9.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,2,6,2
F,W,26,0,1,1,1,4, ,4, ,0,2,    9.00,    6.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,0,0
M,W,26,0,1,1,1,3,1500,3,1500,0,10,    9.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,6,7,1,4,1
M,A,53,1,1,60,6,1, ,2,2500,1,1,    9.00,    6.00,0,0,Defendant could not be classified or tracked due to insufficeint data,2,3,1,1,1
F,B,51,1,1,13,6,1, ,2,1000,0,30,    9.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,2,5,2
F,B,31,0,1,0,3,2,5000,2,5000,1,1,    9.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,1,1
M,W,22,0,1,0,1,4, ,4, ,0,1,    9.00,    6.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,2,0
M,W,56,0,1,1,1,4, ,4, ,0,6,   26.00,    4.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,0,0
M,W,20,0,1,0,4,3,3500,3,3500,1,2,   26.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,1,3,1
M, ,68,0,1,1,1,4, ,4, ,0,0,   26.00,    4.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,0,0
M,B,22,0,1,0,4,3,4000,3,4000,0,1,   26.00,    4.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,5,6,1,3,1
M,W,24,0,1,0,1,3,1000,3,1000,1, , , ,0,0,Defendant could not be classified or tracked due to insufficeint data, , , , , 
F,W,57,0,1,0,1,3,3000,3,3000,1,0,    2.00,    7.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,B,18,1,0,999,0,1, ,1, ,0,4,    2.00,    7.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,3,4,1,4,5
M,B,36,1,0,999,0,1, ,1, ,2,23,   16.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,5,6,3,9,6
M,W,53,0,1,0,1,3,2000,3,2000,1,1,   16.00,    4.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,W,18,0,1,0,1,3,1000,3,1000,0,0,   16.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,2,0
M,W,32,1,0,999,0,1, ,1, ,2,8,   24.00,    2.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,10,11,1,6,3
M,W,27,1,1,44,3,1, ,2,2500,9,12,   24.00,    2.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,3,4,3,5,2
M,W,18,1,1,0,1,3,1500,3,1500,0,0,   24.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,0,2,0
M,W,43,0,1,0,1,3,1000,3,1000,1,2,   24.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,6,7,1,2,1
F,W,28,1,1,0,1,3,2500,3,2500,0,2,   24.00,    2.00,1,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,3,2,1
M,W,43,1,1,1,1,3,2500,3,2500,0,8,   24.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,1,4,2
M,B,47,1,1,1,3,2,10000,2,10000,1,33,   10.00,    3.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,2,4,1
M,W,24,0,1,0,1,4, ,4, ,0,0,   17.00,    5.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,0,0
F,W,26,0,1,0,1,4, ,4, ,0,2,   17.00,    5.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,2,3,1,3,1
M,W,52,0,1,0,1,4, ,4, ,0,0,   17.00,    5.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,0,1,0,0,0
M,W,38,0,1,0,1,4, ,4, ,0,1,   17.00,    5.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,2,3,1,1,1
M,W,26,1,1,0,3,2,500,2,500,0,6,   25.00,    2.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,9,10,1,4,1
M,W,25,1,1,0,1,3,2500,3,2500,0,0,   25.00,    2.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,0,0,0
M,W,42,1,1,80,1,1, ,3,5000,0,32,   25.00,    2.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,8,9,3,9,4
M,W,22,1,1,17,6,1, ,2,1000,0,5,   24.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,3,4,1,5,1
M,W,47,9,1,1,1,3,1500,3,1500,0,1,   25.00,    2.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,2
M,W,27,0,0,999,0,1, ,1, ,0,21,   24.00,    2.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,8,9,3,8,3
M,B,32,99,1,0,1,3,1000,3,1000,0,1,   24.00,    2.00, , ,Contact Event was for new criminal offense NOT punishable by incarceration,2,3,1,1,1
M,W,47,1,0,999,0,1, ,1, ,0,27,   24.00,    2.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,4,5,2,6,3
F,B,33,1,1,5,1,1, ,4, ,1,2,   15.00,    6.00,1,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,0,0,0
M,W,24,1,1,0,1,3,1000,3,1000,0,0,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,2
M,W,23,1,1,0,1,3,1000,3,1000,0,0,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,2
F,W,22,1,1,0,3,2,2000,2,2000,0,5,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,5,6,5,8,5
M,B,31,1,1,30,4,1, ,3,0,2,18,   15.00,    6.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,1,5,4
M,W,40,1,1,6,3,2,1500,2,1500,0,5,   27.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,2,2
M,W,50,1,1,8,3,2,2500,2,2500,0,2,   27.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,2,4
M,W,23,0,1,0,3,2,1500,2,1500,0,0,   27.00,    1.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,0,1,0,0,0
F,W,31,1,1,0,1,3,1000,3,1000,0,2,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,5,6,1,3,1
M,B,32,1,1,0,3,2,2500,2,2500,0,43,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,7,8,3,8,4
F,W,37,1,1,107,1,1, ,3,1000,0,30,   12.00,    3.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,12,13,3,9,4
F,W,39,9,1,0,4,3,4000,3,4000,0,1,   12.00,    3.00,0,1,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,W,41,0,1,37,6,5, ,2,2500,1,4,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,2,1,1
M,B,44,0,1,0,1,5, ,3,7500,1,1,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,B,49,0,1,0,1,5, ,3,4500,1,6,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,2,3,2,4,2
M,W,37,1,1,0,1,3,1000,3,1000,0,3,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,5,6,1,4,2
M,W,46,0,1,0,1,3,750,3,750,1,0,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,B,43,0,0,999,0,1, ,1, ,2,36,   12.00,    3.00,0,1,Defendant Detained Entire Pre-Trial Period_Held Without Bond,8,9,3,7,2
M,W,39,0,1,0,1,4, ,4, ,0,2,   12.00,    3.00,0,0,Contact Event was for new criminal offense NOT punishable by incarceration,4,5,3,4,2
F,B,49,0,1,0,1,3,7500,3,7500,0,0,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,0,0,0
F,W,34,0,1,0,1,3,1000,3,1000,0,0,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,0,1,0,0,0
M,W,28,1,0,999,0,5, ,1, ,0,5,   12.00,    3.00,0,1,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,2,3,1,5,4
F,B,21,1,0,999,0,1, ,1, ,0,31,   12.00,    3.00,0,0,Contact Event was solely related to a preexisting court obligation_PV_FTA_contempt,4,5,2,9,2
F,B,20,1,0,999,0,5, ,1, ,0,0,   12.00,    3.00,0,0,Defendant Detained Entire Pre-Trial Period_UndeterminedBondType,0,1,0,2,3
F,B,46,1,1,777,3,1, ,2, ,1,4,   12.00,    3.00,0,0,New criminal offense punishable by incarceration_Released on Secured Bond,2,3,1,5,2
F,B,22,1,1,0,1,3,2500,3,2500,0,0,   16.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,3,4,0,2,0
M,B,39,1,1,15,3,1, ,2,2500,0,34,   16.00,    4.00,0,1,New criminal offense punishable by incarceration_Released on Secured Bond,6,7,1,3,2
M,W,31,1,1,0,1,3,2500,3,2500,0,3,   16.00,    4.00,0,0,New criminal offense punishable by incarceration_Released on PR or Unsecured Bond,5,6,2,1,1
M,W,27,1,0,999,0,1, ,1, ,1,5,   16.00,    4.00,0,0,Defendant Detained Entire Pre-Trial Period_Held Without Bond,4,5,2,6,2
